user_id,follower_count,following_count,repo_count,lifespan,starred,forked,watched
6433390,17,0,87,2788,1,2,1
685363,251,19,89,3819,285,167,285
313494,208,1,213,4091,47,50,47
140784,283,0,185,4342,95,78,95
17413412,1,0,0,2022,0,0,0
3496035,17,4,7,3133,1,3,1
159684,113,0,183,4297,129,116,129
247466,210,1,119,4157,16,32,16
3970304,16,0,161,3085,1,0,1
311040,697,4,205,4094,264,215,264
124075,3230,4,340,4381,2226,788,2226
123939,2,1,5,4382,0,0,0
226298,167,0,106,4188,117,29,117
1175891,50,4,124,3591,87,69,87
1171865,15,3,37,3593,5,6,5
202307,4,4,17,4223,16,4,16
15239687,0,0,0,2146,0,0,0
23032559,0,0,0,1777,0,0,0
5256050,3,27,659,2940,0,1,0
20906937,1,0,1,1854,0,0,0
8414341,0,0,10,2582,1,0,1
490484,1537,0,182,3941,995,569,995
1019426,0,0,17,3657,1,0,1
6664858,3,0,10,2762,6,0,6
18125139,0,0,6,1987,0,0,0
4374975,136,0,192,3042,48,1616,48
1152552,4,35,219,3602,32,2,32
469157,10,14,27,3957,11,8,11
6986166,314,3,51,2728,129,93,129
8960811,3,11,73,2533,1,7,1
54473,7770,64,496,4586,5035,3084,5035
803893,97,8,163,3759,333,192,333
1071590,531,12,144,3636,68,37,68
4976011,0,15,9,2980,1,0,1
10353040,11,17,32,2441,7,1,7
1486524,0,0,24,3476,52,32,52
17323881,0,0,1,2026,0,0,0
1893624,7,0,49,3358,7,8,7
849592,56,13,148,3736,110,32,110
1192635,10,4,53,3583,4,10,4
26158093,0,0,1,1647,0,0,0
46711,1371,37,414,4616,2941,1061,2941
483832,646,0,125,3946,109,89,109
8548844,2,2,7,2568,1,1,1
3839192,4,5,23,3099,0,0,0
26191019,0,0,0,1646,0,0,0
594085,1629,2,113,3869,1094,330,1094
10225272,0,0,12,2454,0,0,0
495022,11,11,11,3938,1,1,1
172397,204,2,66,4271,103,74,103
822903,63,0,306,3749,33,49,33
12694487,0,1,5,2288,0,0,0
8655789,126,0,0,2558,0,0,0
6489284,32,0,91,2781,31,19,31
9087,71,0,60,4874,202,45,202
12439046,2,6,9,2306,0,0,0
3983417,5,28,47,3084,1,1,1
21234666,3,7,6,1837,0,0,0
10029231,0,0,2,2470,0,0,0
29396105,0,0,0,1545,0,0,0
25766294,0,0,24,1664,0,3,0
29286366,0,0,1,1550,0,0,0
3984616,0,1,8,3084,0,1,0
5559842,0,0,8,2900,0,0,0
7871501,5,4,204,2642,8,0,8
247564,7,1,23,4157,16,2,16
2552795,24,20,28,3249,11,18,11
12611051,41,32,26,2294,47,13,47
14341441,0,18,0,2179,0,0,0
94032,160,2,3,4470,0,0,0
7577654,3,0,33,2671,15,9,15
14159015,0,1,19,2190,4,3,4
8439699,0,0,10,2580,0,0,0
2303321,0,5,3,3284,0,0,0
9837872,19,28,20,2482,131,23,131
29230765,0,0,27,1552,0,0,0
31137045,0,0,0,1479,0,0,0
171534,16,12,43,4274,155,68,155
22094734,0,0,2,1822,0,0,0
11817552,17,0,22,2344,1,0,1
6551736,0,0,1,2774,0,0,0
18534173,1,0,22,1966,0,1,0
1396096,60,0,18,3505,54,22,54
7360073,1,0,1,2694,0,0,0
94953,168,3,140,4467,65,30,65
8436010,1,0,8,2580,79,15,79
9120686,6,21,9,2523,0,0,0
33332837,0,0,1,1403,0,0,0
19405172,0,0,1,1937,0,0,0
2962846,4,1,58,3197,7,12,7
16789092,1,0,8,2055,2,1,2
24520365,1,1,12,1728,0,0,0
34251482,0,0,1,1371,0,0,0
33331924,0,0,1,1403,0,0,0
34694111,0,1,1,1356,0,0,0
1522807,8,46,9,3466,5,0,5
23430945,19,1,8,1757,24,5,24
3848639,36,4,65,3098,94,63,94
16885277,1,0,2,2050,0,0,0
393286,10,8,117,4014,134,53,134
14273367,1,1,18,2183,0,0,0
115082,46,31,48,4406,28,5,28
