user_id,1,2,3,4,5,6,7,8,9,10,11,12
5518576,5245,1678,1524,2425,2132,2129,1477,1944,1495,0,0,0
5554527,0,0,0,0,0,0,0,2,0,1,0,0
5719707,9,43,18,12,8,14,27,22,28,22,9,31
6584974,3,5,3,0,0,0,5,1,3,2,0,5
7352110,0,0,0,1,0,1,2,0,1,0,0,2
6575338,1,24,26,3,2,3,12,3,0,2,0,4
6575161,1,1,1,3,2,1,5,2,6,2,0,2
6574899,34,53,52,49,19,30,46,34,56,58,37,54
6518142,2,6,25,5,0,1,0,1,10,5,1,6
6518137,17,38,20,29,7,21,15,20,30,37,21,31
6574948,2,3,13,1,7,2,0,2,5,8,1,5
6560296,0,0,1,2,1,3,0,0,6,0,0,0
6575241,6,3,2,0,0,5,14,15,18,24,9,20
6574868,4,3,6,0,3,14,4,3,1,6,1,3
6575118,37,38,19,17,28,35,22,14,44,47,22,33
7347157,0,0,2,0,0,0,0,1,5,5,0,0
6575151,40,35,24,11,8,4,15,17,6,6,1,9
6578500,1,4,0,0,0,2,14,11,13,22,2,20
6576637,3,15,1,0,0,1,20,1,7,0,0,6
6561470,62,81,83,82,45,58,50,60,63,80,37,76
6580807,5,0,0,0,1,0,0,0,0,0,1,0
6584633,35,70,70,35,33,24,31,56,34,4,5,0
6574854,7,17,7,13,10,11,17,11,20,53,13,25
6575280,42,48,28,38,25,22,31,39,44,42,0,47
5644189,113,104,78,45,33,51,69,65,58,29,7,34
7342144,25,29,24,7,1,22,16,16,29,14,36,2
7342911,0,0,2,1,0,0,0,1,1,1,1,8
7347217,0,1,1,0,1,0,2,1,2,0,0,3
6575381,0,0,0,2,1,2,0,0,0,0,0,0
6538377,0,0,1,2,0,0,0,7,0,0,0,0
6575112,0,0,0,3,0,1,0,0,0,0,1,0
6574993,0,0,0,1,0,1,3,6,2,0,4,7
6517944,46,75,33,31,31,30,13,9,15,14,4,27
6574850,3,0,1,3,0,0,2,3,1,11,0,3
6575353,0,0,0,0,0,0,0,0,1,1,0,2
6584698,1,0,52,22,0,38,12,2,24,22,22,1
7371640,0,4,14,9,5,17,2,5,3,0,10,0
6575282,19,40,26,34,42,41,21,24,29,41,16,31
6575739,2,6,17,10,3,1,2,4,9,9,11,3
7347160,23,49,22,30,24,11,11,11,15,23,3,19
6575002,6,6,7,6,13,19,10,4,13,12,1,11
6560244,0,3,7,1,1,1,0,0,0,0,0,0
6517837,21,21,29,23,12,47,29,33,38,47,26,21
6560299,7,34,15,16,12,10,37,20,43,52,22,50
7386274,0,0,0,0,0,0,0,0,2,0,0,5
6575400,0,0,0,0,0,1,0,1,2,5,4,7
6575350,1,1,1,4,1,3,1,0,5,4,0,2
7347090,1,0,0,1,0,0,0,1,2,1,2,4
6570671,4,3,4,18,3,11,12,24,16,39,5,4
6584634,2,0,0,0,2,1,4,14,7,12,11,7
6521784,2,2,0,3,2,4,1,2,3,5,0,7
7421487,45,61,66,70,32,30,49,51,54,68,34,7
7356746,1,2,0,0,0,0,0,0,3,0,0,0
7347367,4,0,2,1,0,1,0,4,16,4,1,1
6517938,28,16,0,5,2,0,1,1,2,0,0,1
7347208,14,66,22,15,15,18,12,15,8,9,2,7
7342122,5,2,3,0,2,1,0,6,1,3,8,3
6560119,2,1,4,3,1,6,0,1,0,0,0,0
6579765,24,19,27,44,17,35,23,19,34,33,13,27
901397,1,3,1,4,4,4,0,0,7,1,0,20
6575291,7,4,5,6,0,3,6,14,18,13,1,3
6584610,2,1,4,4,6,4,5,2,0,7,0,0
7353927,1,0,0,0,7,1,1,1,1,6,0,1
6575413,22,21,60,40,27,57,56,59,31,3,3,2
6575416,3,3,0,0,0,4,0,0,0,0,1,0
7353895,0,0,0,0,1,0,0,1,0,0,0,4
7456437,0,0,0,4,2,0,1,0,2,0,0,0
366785,0,0,1,0,1,1,0,1,1,0,0,1
6560352,8,5,3,3,11,1,7,6,1,0,0,1
6571795,0,1,1,0,1,0,0,4,1,0,4,2
7512942,2,1,0,2,1,0,0,1,4,1,0,1
7379189,4,4,0,3,0,1,2,2,5,1,0,3
7353915,0,2,0,2,1,5,2,1,3,0,0,1
6584642,2,7,2,0,0,0,0,0,0,0,0,0
7424446,22,14,12,27,13,9,11,17,29,10,8,26
7555873,10,0,0,1,4,0,0,0,24,7,14,0
7501862,7,10,1,0,0,0,0,5,4,1,3,22
6575370,66,56,58,43,39,24,10,9,18,30,7,13
7353920,50,68,65,48,47,75,41,60,75,54,13,26
7363327,14,4,10,19,12,3,1,3,4,3,7,4
7578154,0,0,0,2,0,0,0,0,0,0,0,2
6584707,31,27,19,20,13,19,32,19,21,56,2,36
6573901,5,2,7,2,0,0,0,3,3,8,2,3
7579944,11,4,2,4,0,3,3,1,0,2,5,2
7641490,13,3,1,7,3,5,5,0,0,3,0,3
6517937,1,0,0,1,3,1,0,4,3,0,0,2
7354012,24,71,111,73,75,65,69,68,56,60,16,38
6569326,3,2,7,3,12,7,8,5,12,8,1,8
6573942,5,7,9,9,6,4,8,15,4,13,3,7
7672178,4,8,11,6,6,7,4,0,0,0,0,2
7398781,11,10,23,2,2,9,6,16,13,6,3,1
7345960,2,3,0,0,1,0,2,0,2,0,0,5
6584639,5,14,4,1,2,0,2,3,6,6,2,3
5133342,0,0,1,0,0,0,0,2,0,0,0,0
7762098,3,7,5,1,0,5,9,2,0,2,2,4
7379164,12,10,20,16,23,13,15,24,7,25,5,7
7841534,5,0,8,3,0,0,0,1,0,1,5,1
6570603,7,30,21,22,16,19,19,31,25,22,6,15
7839909,4,6,0,1,0,1,0,1,6,1,0,2
7353894,1,6,5,3,3,5,1,2,4,10,0,0
6575000,0,4,0,0,5,6,2,3,2,0,0,1
7839560,0,5,4,13,3,1,6,6,2,17,3,10
7500020,2,1,6,11,4,2,3,4,3,9,0,2
7353923,45,50,63,87,103,58,40,55,65,86,36,59
6578529,4,5,0,1,3,3,3,2,0,0,0,0
7873541,0,0,2,0,0,2,0,0,0,0,0,0
7839615,0,0,0,0,6,2,0,1,6,4,3,2
7862345,0,1,4,1,0,0,0,1,0,0,0,0
7889971,6,0,1,0,0,0,0,0,2,0,0,1
6579596,20,25,41,49,14,48,20,26,58,42,17,30
7916874,0,0,0,0,0,0,0,0,0,11,0,0
7929819,0,0,0,0,3,0,1,2,2,0,0,0
7944354,3,1,0,0,0,0,1,0,0,0,0,2
7951240,11,15,21,7,61,20,30,48,18,3,21,17
7917450,1,3,1,0,0,0,0,0,0,1,1,0
7830176,0,0,0,0,1,0,1,2,12,5,0,0
416465,14,25,12,6,0,5,1,0,0,1,2,0
7854338,0,0,2,0,12,1,3,3,0,3,2,3
7873411,0,0,0,0,0,0,6,1,3,3,1,2
8204759,3,0,6,1,0,0,4,0,3,5,0,4
8201499,0,1,3,0,0,4,0,0,2,0,0,1
7511764,0,0,0,0,0,0,0,8,25,0,0,4
7718575,4314,5564,4202,2815,2304,2571,3224,4493,5391,4010,1641,3474
8777557,380,776,511,511,514,816,369,474,425,401,0,0
8869053,4,10,9,17,7,17,4,5,7,11,6,8
6571027,0,0,0,0,0,0,0,0,0,0,0,0
9482390,0,0,0,0,0,0,0,0,0,0,0,0
9676334,0,0,0,0,0,0,0,0,0,0,0,0
577940,0,0,0,0,0,0,0,0,0,0,0,0
6584630,0,0,0,5,0,0,0,0,0,0,1,2
6575384,0,0,0,0,0,0,0,0,3,10,10,3
6517851,12,3,1,4,7,1,6,7,0,0,0,4
2064272,0,4,0,0,8,0,1,0,5,0,0,13
6574911,0,0,1,0,3,0,1,0,1,0,0,1
6579668,2,0,2,1,0,4,3,0,1,0,0,1
7457460,0,0,1,0,0,0,0,2,0,1,0,0
6557666,0,0,0,0,0,0,0,0,0,0,0,0
6517952,0,0,0,0,0,0,0,0,7,0,0,0
6557654,0,0,0,0,0,0,0,0,0,0,0,0
6572694,0,0,0,0,0,0,0,0,0,0,0,0
7535813,0,2,2,0,0,0,0,0,0,0,0,0
6579380,0,0,0,0,0,0,0,0,0,0,0,0
6575301,4,2,9,2,0,1,0,0,0,0,0,2
6510899,0,1,1,1,6,2,1,3,0,0,1,2
7663402,8,2,0,0,0,0,1,4,1,0,2,1
7451608,0,1,1,4,0,1,0,0,4,0,2,0
6579664,3,0,2,0,0,0,3,1,0,0,2,1
7610862,0,0,0,0,0,0,2,0,1,0,0,0
6557818,0,3,11,0,0,0,0,2,7,1,0,3
7541106,0,0,0,0,0,0,0,0,0,0,0,0
6570554,0,0,0,1,0,3,0,0,0,5,0,4
7825995,2,3,0,0,0,2,0,0,0,0,0,0
7716582,1,0,0,3,1,1,3,2,0,0,2,7
7627817,0,0,0,0,0,0,0,0,0,0,0,0
5302133,0,0,0,0,0,0,0,0,0,0,0,0
7541093,0,0,0,0,0,0,0,0,1,0,0,6
7421210,1,0,0,0,2,0,0,0,0,0,0,0
7353924,4,11,4,8,4,6,2,0,5,4,3,1
6565450,5,1,0,3,3,2,1,2,3,2,0,4
6566965,0,0,0,0,0,0,0,0,0,0,0,0
7776907,0,0,0,0,0,0,0,0,0,0,0,0
7854183,0,0,0,1,0,7,2,13,13,0,1,37
5572354,0,0,0,0,0,0,0,0,0,0,0,0
7875425,0,0,0,0,0,0,0,0,0,0,0,0
7863722,0,0,0,0,0,0,0,0,0,0,0,0
6574048,0,0,0,0,0,0,0,0,0,3,0,8
7767239,2,1,3,3,0,0,0,0,0,0,0,3
7512194,0,0,0,13,0,0,0,0,0,0,0,0
7981938,0,0,0,0,1,0,0,0,0,2,0,3
6567552,0,0,0,0,0,0,0,0,0,0,0,0
7366767,0,0,0,0,0,0,0,0,0,0,0,0
7342633,5,2,0,0,0,0,1,0,0,0,0,0
7497830,0,0,0,0,0,0,0,0,0,0,0,0
7914510,0,0,0,0,0,0,0,0,0,0,0,0
6574983,0,0,0,0,0,0,0,0,0,0,0,0
7379080,0,0,2,2,1,4,2,1,1,1,0,2
8082626,0,0,0,0,0,8,1,1,2,0,0,1
6575266,0,0,1,0,0,0,0,0,0,0,0,0
6575152,0,0,0,0,0,0,0,0,0,0,0,0
7825720,0,0,0,0,0,0,0,0,0,0,0,0
8376966,0,0,0,0,0,0,0,0,0,0,0,1
8359095,8,0,1,0,0,0,0,2,0,0,0,1
7806307,2,3,3,0,2,0,3,2,0,2,0,0
7420981,1,2,2,1,3,0,0,1,3,0,0,1
7797380,0,0,0,0,0,0,0,0,0,0,0,5
1054271,1,0,0,0,0,0,0,0,0,0,0,0
8287283,1,0,4,0,0,0,0,0,0,0,0,0
7348435,0,0,0,0,0,0,0,0,0,0,0,2
5280992,0,0,0,0,0,0,0,0,0,0,0,0
1406198,0,0,0,0,0,0,0,0,0,0,0,0
7350758,0,0,0,0,0,0,0,0,0,0,0,0
8372881,14,8,0,0,0,0,0,0,0,0,0,0
8541141,0,0,0,0,0,0,0,0,0,0,0,0
7535773,0,2,0,0,0,0,0,1,0,0,0,0
8585225,0,0,0,0,0,0,0,0,0,0,0,0
8266107,1,0,0,0,0,0,0,1,1,14,0,3
7836106,0,0,0,0,0,0,0,0,2,1,0,1
7902876,0,0,0,0,0,0,0,0,0,0,0,0
5092094,0,0,0,0,0,0,0,0,0,0,0,0
7985992,0,0,0,0,0,0,0,0,0,0,0,0
7651421,3,15,5,6,10,12,3,2,0,5,1,3
5655454,0,4,2,1,0,0,0,1,0,0,1,4
8713245,0,0,6,0,0,2,0,1,1,2,1,0
8563134,4,3,1,0,0,0,0,1,1,1,3,25
8255537,0,0,6,4,0,0,2,11,13,2,0,0
1994694,0,0,0,0,0,0,0,0,0,0,0,1
7918340,0,0,0,0,0,0,0,0,0,0,0,0
8735357,0,0,0,0,0,0,0,0,0,0,0,0
8784964,1,1,0,1,0,0,0,0,0,0,0,0
7722861,1,0,0,0,0,0,3,55,74,0,1,0
8976882,0,0,7,3,0,5,4,2,2,3,1,3
9044888,2,0,0,12,0,0,2,0,0,5,5,11
8990305,0,0,2,3,3,1,2,6,3,2,1,6
9067416,2,0,0,2,0,0,3,0,0,0,1,2
5533887,0,0,0,0,0,0,0,0,0,0,0,0
9073200,0,0,0,2,0,0,0,0,0,0,0,2
9141144,0,7,1,1,0,0,2,0,0,0,0,0
7653762,0,0,0,0,2,0,0,2,0,0,0,0
5316286,5,0,0,0,0,0,0,0,0,0,0,0
9102608,0,0,0,0,0,0,0,0,0,0,0,0
7553902,0,0,0,0,0,0,0,0,0,0,0,5
9067435,0,1,0,3,1,6,0,0,0,3,2,4
9186205,0,4,0,0,0,1,0,0,0,0,0,0
8859122,0,0,0,0,0,0,0,0,0,1,0,1
8309027,3,2,0,0,0,0,0,1,1,0,0,1
8958085,0,0,0,0,0,0,0,0,0,0,0,0
9247710,6,3,2,2,0,1,1,2,1,1,2,1
8108889,0,11,34,18,22,6,12,25,27,16,0,0
6584601,0,0,0,0,0,0,0,8,2,0,0,0
9043766,0,0,0,0,1,0,0,4,0,0,0,0
9248662,0,0,0,0,0,0,0,0,0,0,0,0
9286080,2,0,0,0,0,0,4,0,5,25,10,22
8616534,0,0,0,0,0,0,0,0,0,0,0,0
8973417,0,0,0,0,0,0,0,0,0,0,0,0
9238102,1,0,0,0,0,0,0,0,0,0,0,1
9432095,0,0,0,0,0,0,0,0,0,0,0,1
7711582,0,0,2,1,0,7,0,0,6,2,2,0
9435639,0,0,0,0,0,3,0,0,11,0,0,1
8326892,0,0,0,7,0,0,0,0,1,0,0,0
9522174,0,0,0,0,6,2,1,4,3,0,0,0
9482038,0,0,0,0,0,0,2,5,0,0,3,1
8701807,0,0,0,0,2,0,0,0,0,0,0,1
9266863,0,0,0,0,0,0,0,0,0,0,0,0
9404306,0,0,0,0,0,10,0,12,0,3,0,0
7566764,0,0,0,0,0,2,1,3,0,0,0,0
8456285,0,0,0,0,0,0,0,2,0,0,0,0
9597902,0,0,0,0,0,0,0,0,0,0,0,0
9453007,0,0,0,0,0,0,0,0,0,0,0,0
9414572,0,0,0,0,0,0,0,0,0,0,0,0
7533109,0,0,0,0,0,0,0,8,3,4,0,5
8273927,0,0,0,0,0,0,0,0,0,0,0,0
9180338,0,0,0,0,0,0,0,0,0,0,0,0
1009459,0,0,0,0,0,0,0,0,0,0,5,0
9697643,0,0,0,0,0,0,0,0,6,0,0,0
8325905,0,0,0,0,0,0,0,0,0,0,0,0
7546068,0,0,0,0,0,0,0,0,0,0,0,0
4934542,0,0,0,0,0,0,0,0,1,0,0,2
8293079,0,0,0,0,0,0,0,0,2,1,0,0
9540028,0,0,0,0,0,0,0,0,3,2,0,2
9566522,0,0,0,0,0,0,0,0,0,0,0,0
9701809,0,0,0,0,0,0,0,0,0,0,7,0
8056451,0,0,0,0,0,0,0,0,0,0,0,0
5320700,0,0,0,0,0,0,0,0,0,0,0,0
9259813,0,0,0,0,0,0,0,0,0,3,0,1
7965512,0,0,0,0,0,0,0,0,0,0,1,0
8825211,0,0,0,0,0,0,0,0,0,0,0,0
9278166,0,0,0,0,0,0,0,0,0,0,2,1
9779225,0,0,0,0,0,0,0,0,0,0,0,0
9646900,0,0,0,0,0,0,0,0,0,0,0,0
8561226,0,0,0,0,0,0,0,0,0,0,0,0
9820184,0,0,0,0,0,0,0,0,0,0,0,2
9379373,0,0,0,0,0,0,0,0,0,0,0,0
9823846,0,0,0,0,0,0,0,0,0,0,0,0
9405408,0,0,0,0,0,0,0,0,0,0,0,1
9783057,0,0,0,0,0,0,0,0,0,0,0,2
9745775,0,0,0,0,0,0,0,0,0,0,0,0
9795476,0,0,0,0,0,0,0,0,0,0,0,0
9788296,0,0,0,0,0,0,0,0,0,0,0,0
9588914,0,0,0,0,0,0,0,0,0,0,0,0
7945906,0,0,0,0,0,0,0,0,0,0,0,0
8087811,0,0,0,0,0,0,0,0,0,0,0,0
9701765,0,0,0,0,0,0,0,0,0,0,1,2
7508424,0,0,0,0,0,0,0,0,0,0,0,10
9748405,0,0,0,0,0,0,0,0,0,0,0,7
9801422,0,0,0,0,0,0,0,0,0,0,0,0
9590027,0,0,0,0,0,0,0,0,0,0,0,0
5482222,0,0,0,0,0,0,0,0,0,0,0,0
2353553,0,0,0,0,0,0,0,0,0,0,0,0
8061328,0,0,0,0,0,0,0,0,0,0,0,0
9593574,0,0,0,0,0,0,0,0,0,0,0,0
7675206,0,0,0,0,0,0,0,0,0,0,0,0
9457501,0,0,0,0,0,0,0,0,0,0,0,0
9653381,0,0,0,0,0,0,0,0,0,0,0,0
9859942,0,0,0,0,0,0,0,0,0,0,0,0
8343577,0,0,0,0,0,0,0,0,0,0,0,0
1316080,0,0,0,0,0,0,0,0,0,0,0,0
8243113,0,0,0,0,0,0,0,0,0,0,0,0
5175122,0,0,0,0,0,0,0,0,0,0,0,0
7342651,0,0,0,0,0,0,0,0,0,0,0,0
9793828,0,0,0,0,0,0,0,0,0,0,0,6
5533664,0,0,0,0,0,0,0,0,0,0,0,0
8640980,0,0,0,0,0,0,0,0,0,0,0,0
9765476,0,0,0,0,0,0,0,0,0,0,0,2
8577255,0,0,0,0,0,0,0,0,0,0,0,0
9801763,0,0,0,0,0,0,0,0,0,0,0,0
9801372,0,0,0,0,0,0,0,0,0,0,0,0
5140599,0,0,0,0,0,0,0,0,0,0,0,0
9778885,0,0,0,0,0,0,0,0,0,0,0,0
9743630,0,0,0,0,0,0,0,0,0,0,0,0
9561319,0,0,0,0,0,0,0,0,0,0,0,0
7941913,0,0,0,0,0,0,0,0,0,0,0,2
9559914,0,0,0,0,0,0,0,0,0,0,0,0
9118390,0,0,0,0,0,0,0,0,0,0,0,3
9686091,0,0,0,0,0,0,0,0,0,0,0,1
9778383,0,0,0,0,0,0,0,0,0,0,0,0
9801505,0,0,0,0,0,0,0,0,0,0,0,1
8724970,0,0,0,0,0,0,0,0,0,0,0,1
